NAME,B08303_001E,B08303_013E,state,county
"Madison County, Arkansas",6085,182,05,087
"Miller County, Arkansas",16234,137,05,091
"Monroe County, Arkansas",2751,56,05,095
"Montgomery County, Arkansas",3074,156,05,097
"Bates County, Missouri",6557,206,29,013
"Benton County, Missouri",6269,380,29,015
"Bollinger County, Missouri",4564,172,29,017
"Boone County, Missouri",87806,1226,29,019
"Buchanan County, Missouri",38203,346,29,021
"Butler County, Missouri",15908,362,29,023
"Caldwell County, Missouri",3569,121,29,025
"Callaway County, Missouri",18754,345,29,027
"Camden County, Missouri",17554,574,29,029
"Cape Girardeau County, Missouri",36047,673,29,031
"Carroll County, Missouri",3230,181,29,033
"Carter County, Missouri",2206,144,29,035
"Cedar County, Missouri",4616,341,29,039
"Chariton County, Missouri",2935,124,29,041
"Clark County, Missouri",2793,57,29,045
"Clay County, Missouri",119737,1211,29,047
"Cole County, Missouri",35992,621,29,051
"Cooper County, Missouri",7080,251,29,053
"Dade County, Missouri",2776,80,29,057
"Dallas County, Missouri",5653,87,29,059
"DeKalb County, Missouri",3717,161,29,063
"Dent County, Missouri",6116,106,29,065
"Dunklin County, Missouri",10948,135,29,069
"Franklin County, Missouri",46037,1303,29,071
"Gentry County, Missouri",2748,122,29,075
"Greene County, Missouri",130092,1439,29,077
"Harrison County, Missouri",3196,107,29,081
"Henry County, Missouri",8702,438,29,083
"Holt County, Missouri",1824,63,29,087
"Howard County, Missouri",4363,108,29,089
"Iron County, Missouri",3718,230,29,093
"Jackson County, Missouri",324853,4078,29,095
"Jefferson County, Missouri",104981,1815,29,099
"Knox County, Missouri",1295,14,29,103
"Laclede County, Missouri",14919,295,29,105
"Lawrence County, Missouri",15181,230,29,109
"Lewis County, Missouri",3839,63,29,111
"Linn County, Missouri",5216,150,29,115
"Livingston County, Missouri",6218,107,29,117
"Macon County, Missouri",5959,141,29,121
"Madison County, Missouri",4706,302,29,123
"Marion County, Missouri",12238,249,29,127
"Mercer County, Missouri",1315,49,29,129
"Mississippi County, Missouri",4247,61,29,133
"Moniteau County, Missouri",6267,99,29,135
"Montgomery County, Missouri",4888,118,29,139
"Morgan County, Missouri",6542,273,29,141
"Newton County, Missouri",24240,394,29,145
"Nodaway County, Missouri",10329,143,29,147
"Osage County, Missouri",6304,111,29,151
"Ozark County, Missouri",2871,145,29,153
"Perry County, Missouri",9032,260,29,157
"Pettis County, Missouri",17852,442,29,159
"Phelps County, Missouri",17536,370,29,161
"Pike County, Missouri",6698,211,29,163
"Platte County, Missouri",49968,651,29,165
"Polk County, Missouri",13180,205,29,167
"Pulaski County, Missouri",25248,229,29,169
"Putnam County, Missouri",1999,76,29,171
"Rockbridge County, Virginia",9156,183,51,163
"Russell County, Virginia",8686,101,51,167
"Scott County, Virginia",7853,63,51,169
"Smyth County, Virginia",11344,270,51,173
"Southampton County, Virginia",7307,212,51,175
"Stafford County, Virginia",69241,6651,51,179
"Surry County, Virginia",2895,212,51,181
"Tazewell County, Virginia",13953,355,51,185
"Warren County, Virginia",17389,1759,51,187
"Westmoreland County, Virginia",6436,802,51,193
"Wise County, Virginia",12080,260,51,195
"York County, Virginia",31503,356,51,199
"Alexandria city, Virginia",87290,1868,51,510
"Buena Vista city, Virginia",2919,12,51,530
"Charlottesville city, Virginia",22117,236,51,540
"Colonial Heights city, Virginia",7662,146,51,570
"Covington city, Virginia",2198,22,51,580
"Danville city, Virginia",15242,227,51,590
"Fairfax city, Virginia",11245,232,51,600
"Falls Church city, Virginia",6839,50,51,610
"Fredericksburg city, Virginia",14355,1107,51,630
"Galax city, Virginia",2499,93,51,640
"Harrisonburg city, Virginia",23587,255,51,660
"Hopewell city, Virginia",9200,275,51,670
"Lynchburg city, Virginia",34503,597,51,680
"Manassas city, Virginia",20543,1326,51,683
"Martinsville city, Virginia",4510,48,51,690
"Newport News city, Virginia",85522,1715,51,700
"Norton city, Virginia",1564,8,51,720
"Petersburg city, Virginia",12573,271,51,730
"Portsmouth city, Virginia",42806,471,51,740
"Radford city, Virginia",7765,97,51,750
"Roanoke city, Virginia",44115,429,51,770
"Salem city, Virginia",11384,62,51,775
"Staunton city, Virginia",11301,256,51,790
"Suffolk city, Virginia",42021,793,51,800
"Virginia Beach city, Virginia",226307,3094,51,810
"Waynesboro city, Virginia",9983,221,51,820
"Williamsburg city, Virginia",5817,68,51,830
"Winchester city, Virginia",12433,585,51,840
"Adams County, Washington",6994,41,53,001
"Asotin County, Washington",8716,53,53,003
"Benton County, Washington",82089,1084,53,005
"Chelan County, Washington",33140,621,53,007
"Clallam County, Washington",26863,757,53,009
